id,speaker_id,username,topic,venue,date,time
1,50,Xavier Falieres,Perioperative Process: The Focused Factory Principle ,BALLROOM A,23-Oct-25,1:00 PM-1:20 PM
2,93,Samuel Ern Hung Tsan,Neuroanesthesia Updates in Regional Anesthesia and Analgesia in Neurosurgery,BALLROOM C,23-Oct-25,1:00 PM-1:20 PM
3,134,Sng Ban Leong,Obstetric Update on Non-neuraxial Labour Analgesia ,BALLROOM B,23-Oct-25,1:00 PM-1:20 PM
4,129,Varinee Lekprasert,The Impact of Perioperative Care on Patient Outcomes ,BALLROOM A,23-Oct-25,1:20 PM-1:40 PM
5,130,Sanjib Adhikary,Myths and facts of Epidural Analgesia ,BALLROOM B,23-Oct-25,1:20 PM-1:40 PM
6,179,Jeffrey Pasternak,The Pregnant Patient and Neurosurgery,BALLROOM C,23-Oct-25,1:20 PM-1:40 PM
7,125,Balavenkat Subramanian,Anesthesia for Scoliosis Surgery - An Update,BALLROOM C,23-Oct-25,1:40 PM-2:00 PM
8,126,Alex Sia Tiong Heng,"Post Dural Puncture Headache: The Not-So-Good, The Bad and the Ugly",BALLROOM B,23-Oct-25,1:40 PM-2:00 PM
9,132,Patrick Giam,Advancing Patient Safety,BALLROOM A,23-Oct-25,1:40 PM-2:00 PM
10,58,Sophia Chew,Geroprotection and Anesthesiology,BALLROOM C,23-Oct-25,2:00 PM-2:20 PM
11,97,Heather Nixon,Intraoperative Pain During Cesarian Delivery-Optimizing Team Care,BALLROOM B,23-Oct-25,2:00 PM-2:20 PM
12,151,Rodney Gabriel,Leveraging Artificial Intelligence in Perioperative Medicine,BALLROOM A,23-Oct-25,2:00 PM-2:20 PM
13,137,Shahridan Mohd Fathil,Monitoring Standards for Anesthesia,BALLROOM C,23-Oct-25,3:20 PM-3:40 PM
14,138,Athmaja Thottungal,Gut Microbiome and Pain- Practical Pearls,BALLROOM B,23-Oct-25,3:20 PM-3:40 PM
15,175,Suneel Ramesh Desai,Hemodynamic Assessment With Neck Vessels,BALLROOM A,23-Oct-25,3:20 PM-3:40 PM
16,49,Suraphong Lorsomradee,ECG-SpO2 Derived Cardiac Output for Simple High Risk Surgery,BALLROOM A,23-Oct-25,3:40 PM-4:00 PM
17,52,Christopher Bowden,Ketamine - updates in our clinical practice,BALLROOM B,23-Oct-25,3:40 PM-4:00 PM
